GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.util,S7SizeHelper,127,75,22,14,34,22,18,8,3,4
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.util,S7PlcFieldHandler,1654,0,173,0,284,0,113,0,19,0
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.util,S7RequestSizeCalculator,192,0,27,0,50,0,24,0,10,0
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.util,S7ResponseSizeEstimator,192,0,27,0,51,0,26,0,11,0
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.util,S7TypeEncoder,514,0,38,0,77,0,27,0,8,0
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.util,S7ResponseSizeEstimator.new Object() {...},26,0,0,0,1,0,1,0,1,0
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.util,S7TypeDecoder,293,0,22,0,34,0,12,0,1,0
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.util,S7PlcFieldHandler.new Object() {...},159,0,0,0,1,0,1,0,1,0
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.util,S7RequestSizeCalculator.new Object() {...},26,0,0,0,1,0,1,0,1,0
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.util,S7SizeHelper.new Object() {...},4,29,0,0,0,1,0,1,0,1
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.types,ProtocolClass,0,103,0,2,0,15,0,5,0,4
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.types,DeviceGroup,6,75,0,2,1,12,1,4,1,3
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.types,DisconnectReason,6,185,0,2,1,22,1,4,1,3
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.types,RejectCause,92,0,2,0,14,0,5,0,4,0
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.types,ParameterCode,0,279,0,2,0,31,0,5,0,4
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.types,TpduCode,2,174,1,3,1,22,1,5,0,4
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.types,TpduSize,7,162,2,6,2,23,2,8,0,6
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.params,VarParameter,22,0,0,0,8,0,4,0,4,0
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.params,SetupCommunicationParameter,0,23,0,0,0,9,0,5,0,5
