GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.model,DefaultPlcConsumerRegistration,81,0,8,0,15,0,10,0,6,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages,DefaultPlcProprietaryResponse,15,0,0,0,6,0,3,0,3,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages,DefaultPlcReadRequest,30,0,0,0,7,0,5,0,5,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages,DefaultPlcWriteRequest.Builder.BuilderItem,12,0,0,0,5,0,1,0,1,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages,PlcRawMessage,20,0,0,0,8,0,4,0,4,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages,DefaultPlcReadRequest.Builder,65,0,2,0,14,0,5,0,4,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages,DefaultPlcUnsubscriptionResponse,11,0,0,0,5,0,5,0,5,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages,DefaultPlcWriteRequest,64,0,0,0,10,0,8,0,8,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages,DefaultPlcWriteResponse,27,0,0,0,8,0,5,0,5,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages,PlcRequestContainer,1,79,2,6,0,18,2,9,0,7
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages,DefaultPlcSubscriptionEvent,152,0,0,0,76,0,75,0,75,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages,DefaultPlcUnsubscriptionRequest.Builder,62,0,0,0,11,0,5,0,5,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages,DefaultPlcSubscriptionRequest.Builder,54,0,0,0,14,0,6,0,6,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages,DefaultPlcSubscriptionRequest,13,0,0,0,6,0,6,0,6,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages,DefaultPlcSubscriptionRequest.Builder.BuilderItem,9,0,0,0,4,0,1,0,1,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages,DefaultPlcSubscriptionResponse,47,0,0,0,10,0,7,0,7,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages,DefaultPlcWriteRequest.Builder,429,0,10,0,51,0,22,0,17,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages,DefaultPlcReadResponse,966,0,118,0,267,0,135,0,76,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages,DefaultPlcProprietaryRequest,9,0,0,0,4,0,2,0,2,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages,DefaultPlcUnsubscriptionRequest,29,0,0,0,8,0,6,0,6,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.connection,AbstractPlcConnection,146,0,12,0,44,0,18,0,12,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages.items,DefaultShortFieldItem,249,0,48,0,43,0,44,0,20,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages.items,DefaultLocalDateTimeFieldItem,67,0,12,0,15,0,14,0,8,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages.items,DefaultBigIntegerFieldItem,294,0,60,0,58,0,50,0,20,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages.items,DefaultFloatFieldItem,266,0,56,0,43,0,48,0,20,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages.items,DefaultBigDecimalFieldItem,298,0,60,0,56,0,50,0,20,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages.items,DefaultLongFieldItem,269,0,56,0,43,0,48,0,20,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages.items,DefaultLocalDateFieldItem,27,0,4,0,7,0,6,0,4,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages.items,DefaultByteFieldItem,241,0,44,0,43,0,42,0,20,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages.items,DefaultStringFieldItem,27,0,4,0,7,0,6,0,4,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages.items,DefaultLocalTimeFieldItem,27,0,4,0,7,0,6,0,4,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages.items,FieldItem,115,0,8,0,43,0,37,0,33,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages.items,DefaultIntegerFieldItem,257,0,52,0,43,0,46,0,20,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages.items,DefaultDoubleFieldItem,265,0,56,0,43,0,48,0,20,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages.items,DefaultBooleanFieldItem,83,0,10,0,18,0,11,0,6,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base,PlcMessageToMessageCodec,47,0,4,0,15,0,6,0,4,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.events,ConnectedEvent,3,0,0,0,1,0,1,0,1,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.events,ConnectEvent,3,0,0,0,1,0,1,0,1,0
