GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.model,DefaultPlcConsumerRegistration,81,0,8,0,15,0,10,0,6,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages,DefaultPlcProprietaryResponse,15,0,0,0,6,0,3,0,3,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages,DefaultPlcReadRequest,13,34,0,0,2,9,2,5,2,5
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages,DefaultPlcWriteRequest.Builder.BuilderItem,12,0,0,0,5,0,1,0,1,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages,PlcRawMessage,20,0,0,0,8,0,4,0,4,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages,DefaultPlcReadRequest.Builder,64,0,2,0,14,0,5,0,4,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages,DefaultPlcUnsubscriptionResponse,11,0,0,0,5,0,5,0,5,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages,DefaultPlcWriteRequest,66,40,0,0,12,13,7,5,7,5
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages,DefaultPlcWriteResponse,30,0,0,0,9,0,6,0,6,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages,PlcRequestContainer,0,80,1,7,0,18,1,10,0,7
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages,DefaultPlcSubscriptionEvent,161,0,0,0,80,0,79,0,79,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages,DefaultPlcUnsubscriptionRequest.Builder,62,0,0,0,11,0,5,0,5,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages,DefaultPlcSubscriptionRequest.Builder,54,0,0,0,14,0,6,0,6,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages,DefaultPlcSubscriptionRequest,33,0,0,0,7,0,7,0,7,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages,DefaultPlcSubscriptionRequest.Builder.BuilderItem,9,0,0,0,4,0,1,0,1,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages,DefaultPlcSubscriptionResponse,47,0,0,0,10,0,7,0,7,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages,DefaultPlcWriteRequest.Builder,494,0,10,0,57,0,25,0,20,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages,DefaultPlcReadResponse,1006,12,126,0,279,5,142,2,79,2
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages,DefaultPlcProprietaryRequest,9,0,0,0,4,0,2,0,2,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages,DefaultPlcUnsubscriptionRequest,34,0,0,0,9,0,7,0,7,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.protocol,SingleItemToSingleRequestProtocol,173,794,15,27,35,182,17,28,4,20
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.protocol,SingleItemToSingleRequestProtocol.CorrelatedPlcReadRequest,0,27,0,0,0,7,0,3,0,3
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.protocol,SingleItemToSingleRequestProtocol.CorrelatedPlcWriteRequest,0,30,0,0,0,7,0,3,0,3
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.connection,DefaultPlcFieldHandler,171,0,0,0,15,0,15,0,15,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.connection,AbstractPlcConnection,151,0,12,0,45,0,19,0,13,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages.items,DefaultShortFieldItem,249,0,48,0,43,0,44,0,20,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages.items,DefaultLocalDateTimeFieldItem,67,0,12,0,15,0,14,0,8,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages.items,DefaultBigIntegerFieldItem,294,0,60,0,58,0,50,0,20,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages.items,DefaultFloatFieldItem,266,0,56,0,43,0,48,0,20,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages.items,DefaultByteArrayFieldItem,24,0,2,0,6,0,5,0,4,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages.items,DefaultBigDecimalFieldItem,298,0,60,0,56,0,50,0,20,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages.items,DefaultLongFieldItem,269,0,56,0,43,0,48,0,20,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages.items,DefaultLocalDateFieldItem,27,0,4,0,7,0,6,0,4,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages.items,DefaultByteFieldItem,241,0,44,0,43,0,42,0,20,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages.items,DefaultStringFieldItem,27,0,4,0,7,0,6,0,4,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages.items,DefaultLocalTimeFieldItem,27,0,4,0,7,0,6,0,4,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages.items,FieldItem,119,0,8,0,45,0,39,0,35,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages.items,DefaultIntegerFieldItem,257,0,52,0,43,0,46,0,20,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages.items,DefaultDoubleFieldItem,265,0,56,0,43,0,48,0,20,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.messages.items,DefaultBooleanFieldItem,83,0,10,0,18,0,11,0,6,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base,PlcMessageToMessageCodec,47,0,4,0,15,0,6,0,4,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.events,ConnectedEvent,3,0,0,0,1,0,1,0,1,0
PLC4J: Protocol: Driver-Base: Base,org.apache.plc4x.java.base.events,ConnectEvent,3,0,0,0,1,0,1,0,1,0
